"","year","10","91","92","all"
"1",2009,95.6611570247934,69.8979591836735,5.29801324503311,51.353226925746
"2",2010,96.2264150943396,72.3076923076923,4.82529118136439,52.2679692951849
"3",2011,95.7627118644068,74.3589743589744,3.47682119205298,52.03081232493
"4",2012,95.9139784946236,74.3386243386243,2.58620689655172,51.8465909090909
"5",2013,97.1677559912854,73.7400530503979,3.56536502546689,51.8332135154565
"6",2014,96.6292134831461,73.2467532467532,8.17717206132879,53.8181818181818
"7",2015,95.2914798206278,94.0104166666667,51.0033444816054,76.1215629522431
"8",2016,95.9367945823928,95.2631578947368,82.1782178217822,89.7826086956522
"9",2017,96.5437788018433,93.3862433862434,87.1404399323181,91.6358253145818
"10",2018,92.9245283018868,90.2234636871508,86.8705035971223,89.7081413210445
