"","top_10_green_bw","top_10_alpha_green_bw","bottom_10_green_bw","bottom_10_alpha_green_bw","benchmark_minus_20_green_bw","top_10_pct_green_bw","top_10_alpha_pct_green_bw","bottom_10_pct_green_bw","bottom_10_alpha_pct_green_bw","benchmark_minus_20_pct_green_bw"
"Semi Deviation",0.0308,0.0348,0.0411,0.0428,0.0295,0.0313,0.0355,0.0413,0.043,0.0296
"Gain Deviation",0.0303,0.0365,0.038,0.0385,0.0249,0.0313,0.0375,0.0403,0.0391,0.0249
"Loss Deviation",0.0255,0.0291,0.0344,0.0322,0.0267,0.0248,0.0304,0.0332,0.0328,0.0271
"Downside Deviation (MAR=10%)",0.0254,0.0294,0.0401,0.0416,0.0258,0.0256,0.0303,0.0403,0.0418,0.0259
"Downside Deviation (Rf=0%)",0.0216,0.0254,0.0357,0.0369,0.0222,0.0216,0.0264,0.0357,0.0371,0.0223
"Downside Deviation (0%)",0.0216,0.0254,0.0357,0.0369,0.0222,0.0216,0.0264,0.0357,0.0371,0.0223
"Maximum Drawdown",0.1336,0.202,0.3272,0.3209,0.1337,0.1487,0.2199,0.3355,0.3272,0.1342
"Historical VaR (95%)",-0.0461,-0.0581,-0.0858,-0.0883,-0.0469,-0.05,-0.0585,-0.0947,-0.0883,-0.0459
"Historical ES (95%)",-0.0776,-0.0878,-0.1074,-0.1052,-0.0772,-0.0761,-0.0904,-0.104,-0.1072,-0.0775
"Modified VaR (95%)",-0.0543,-0.0622,-0.0856,-0.0894,-0.0533,-0.0547,-0.0647,-0.086,-0.0899,-0.0535
"Modified ES (95%)",-0.0741,-0.0857,-0.1069,-0.1081,-0.0778,-0.0726,-0.0891,-0.106,-0.1093,-0.0786
