"","model_name...Brown.Bw.avg_obs","model_name...Brown.Bw.missing_obs","model_name...Brown.Bw.n_obs","model_name...Brown.Bw.pct_missing_obs","model_name...Brown.Fw.avg_obs","model_name...Brown.Fw.missing_obs","model_name...Brown.Fw.n_obs","model_name...Brown.Fw.pct_missing_obs","model_name...Green.Bw.avg_obs","model_name...Green.Bw.missing_obs","model_name...Green.Bw.n_obs","model_name...Green.Bw.pct_missing_obs","model_name...Green.Fw.avg_obs","model_name...Green.Fw.missing_obs","model_name...Green.Fw.n_obs","model_name...Green.Fw.pct_missing_obs","model_name...Neutral.Bw.avg_obs","model_name...Neutral.Bw.missing_obs","model_name...Neutral.Bw.n_obs","model_name...Neutral.Bw.pct_missing_obs","model_name...Neutral.Fw.avg_obs","model_name...Neutral.Fw.missing_obs","model_name...Neutral.Fw.n_obs","model_name...Neutral.Fw.pct_missing_obs"
"Mean",35.6249155140237,5.76,232.6,2.44957874825388,34.8826821999136,12.7142857142857,182.809523809524,6.96940700719603,33.9336647619191,30.24,233.48,12.2017940878532,34.0174293809233,21.1428571428571,182.047619047619,11.6799120742577,34.3387975109303,48.08,462.56,9.17507696125506,33.9010080293703,43.1904761904762,362.380952380952,11.9381592877852
"Std.Dev",0.241232587556323,3.05886689260364,56.8147574725675,1.09887738850865,0.29527722533682,2.72291860221449,2.87435292925291,1.55048916525748,0.812407469775114,16.4146276229466,57.9051811153372,3.9168225494075,0.861322811032708,7.74781075069412,3.23227768726931,4.44322581505086,1.18748470470169,37.8097430124388,113.057168429664,5.33919047858505,0.386014477158077,7.88428213358101,5.98728812131328,2.29160190514513
"Min",35.1621621621622,0,179,0,34.304347826087,7,178,3.76344086021505,32.6266233766234,12,179,6.66666666666667,32.6179775280899,10,177,5.49450549450549,32.3338735818476,14,355,3.85674931129477,33.0698324022346,32,351,8.79120879120879
"Q1",35.4827586206897,5,182,1.99335548172757,34.7444444444444,12,180,6.41711229946524,33.2287581699346,19,182,9.09090909090909,33.1016949152542,13,179,6.98924731182796,32.9756493506493,16,362,4.48179271708683,33.7035040431267,37,360,10.1369863013699
"Median",35.5612903225806,6,185,2.77777777777778,34.896174863388,12,183,6.74157303370786,33.9372549019608,24,185,11.787072243346,34.2972972972973,21,182,11.5384615384615,35.1219512195122,24,369,6.50406504065041,33.9666666666667,43,362,11.6216216216216
"Q3",35.8588235294118,8,301,3.24675324675325,35.0449438202247,15,186,8.24175824175824,34.731843575419,44,305,14.3790849673203,34.7675675675676,28,185,15.7303370786517,35.2727272727273,94,596,15.7718120805369,34.1785714285714,49,367,13.8810198300283
"Max",36,12,310,3.8961038961039,35.4516129032258,17,187,9.44444444444444,35,62,314,20.1298701298701,35,31,187,17.3184357541899,35.5138888888889,112,617,18.1523500810373,34.5,59,371,16.4804469273743
"MAD",0.232647720782655,2.9652,8.8956,0.716231884057971,0.224955519125677,2.9652,4.4478,1.60069801016885,1.12088285551114,13.3434,8.8956,3.99733148980297,0.937078113983543,11.8608,4.4478,6.74466501240695,0.481719372632412,14.826,20.7564,3.51648054827656,0.341878082191778,8.8956,5.9304,2.62226241626242
"IQR",0.376064908722107,3,119,1.25339776502567,0.300499375780269,3,6,1.824645942293,1.50308540548435,25,123,5.28817587641117,1.66587265231333,15,6,8.74108976682373,2.29707792207792,78,234,11.2900193634501,0.475067385444746,12,7,3.74403352865847
"CV",0.00677145711296808,0.53105327996591,0.244259490423764,0.448598514863812,0.00846486585075591,0.214162137252825,0.015723212168354,0.222470744448785,0.0239410472012091,0.542811760018074,0.248009170444309,0.321003822979332,0.0253200440688129,0.366450508478776,0.0177551220069724,0.380416032826448,0.0345814294843523,0.786392325549892,0.244416223689173,0.581923236298903,0.0113865191508067,0.182546774867918,0.0165220828577633,0.191956050334313
"Skewness",0.108682651283935,-0.117356895943245,0.317533427816863,-1.0000259400001,-0.092641798557035,-0.364205907143463,-0.0830821880871911,-0.326754668258687,-0.176667988764971,0.648353295256071,0.322601610372059,0.414553814558548,-0.361358207987815,-0.102140170822542,-0.0406855117942969,-0.0709405046919069,-0.551469494502309,0.592749734705685,0.318722347413463,0.548382794441148,-0.567934973408618,0.443195707185816,-0.178942511992566,0.484473281045089
"SE.Skewness",0.46368350080139,0.46368350080139,0.46368350080139,0.46368350080139,0.501194744833586,0.501194744833586,0.501194744833586,0.501194744833586,0.46368350080139,0.46368350080139,0.46368350080139,0.46368350080139,0.501194744833586,0.501194744833586,0.501194744833586,0.501194744833586,0.46368350080139,0.46368350080139,0.46368350080139,0.46368350080139,0.501194744833586,0.501194744833586,0.501194744833586,0.501194744833586
"Kurtosis",-1.09018312111144,-0.65534654828144,-1.78948605094804,-0.39553545354879,-0.441816067923084,-0.778279342743814,-1.37423728637366,-0.805243230688987,-1.50118262101761,-1.12101219836268,-1.78830680487343,-0.909377999519562,-1.53767427237984,-1.78396217703959,-1.45229868891222,-1.79445670994024,-1.53746102382726,-1.49924575310424,-1.7824203824602,-1.51362333539446,-0.350334927302853,-1.05040711161849,-1.00636982481107,-1.11912837455064
"N.Valid",25,25,25,25,21,21,21,21,25,25,25,25,21,21,21,21,25,25,25,25,21,21,21,21
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
