"","Cumulative return","Annualized return","Annualized standard deviation","Annualized sharpe ratio","Monthly skewness","Monthly excess kurtosis","Value at risk","Expected shortfall","Max drawdown","Information Ratio: sp500"
"top_10_ratio",1.18212476330524,0.127880130517131,0.156365103068533,0.817830372682851,-0.479636095125038,1.84342234679707,-0.0166043741107314,-0.025502060937901,0.184480129550265,-0.260111696536631
"top_10_alpha",1.45372923694488,0.148471288498084,0.165115812121786,0.899194853540583,-0.38324605147075,1.52658445556148,-0.0172834938872022,-0.0257459815277938,0.16701702101008,-0.0190415061101391
"bot_10_ratio",2.0948495778643,0.190331119928619,0.220735983639888,0.862256877152973,0.0122697433544306,1.08570266611302,-0.0217234992478601,-0.0296939605885932,0.293023607705735,0.237813177461097
"bot_10_alpha",3.41217093167749,0.257245429342813,0.232139397947857,1.10815066988584,0.0810069108194294,0.9985630974306,-0.0223974356218327,-0.0300972717241883,0.278028552252194,0.595063639385032
"bm_ex_ratio",1.64318154564295,0.161720338264053,0.129509003842344,1.24871888027894,-0.34263293412278,1.81140355156971,-0.0132649913790729,-0.0202351666969457,0.138192510322978,0.338738471084481
"top_10_ratio_pct",1.64586599454199,0.161902221126219,0.132850977393868,1.21867542341237,-0.398400178660552,1.75571722190092,-0.013756664652157,-0.0209823453341836,0.124132303870105,0.260823448532407
"top_10_alpha_pct",1.87657508003893,0.176979996852943,0.144777860497742,1.2224244524991,-0.414147592527909,1.55163429045087,-0.0150666984620917,-0.0226081703390402,0.133799170727409,0.386725389399388
"bot_10_ratio_pct",2.14436190126564,0.193248349616581,0.15108954379035,1.27903192218735,-0.139552147344929,0.887587905787272,-0.0151074047418915,-0.0209422445519026,0.188663790728895,0.590522701753454
"bot_10_alpha_pct",2.23492131799805,0.198484974414388,0.194064222204606,1.02277984143374,-0.0415803406413034,0.702748809827307,-0.0192793373719281,-0.0259342420724664,0.250334071551071,0.374903365671594
"bm_ex_ratio_pct",1.51301566568257,0.152707742247417,0.130300710861783,1.17196399956254,-0.359204166120581,1.97300859163855,-0.0133905326391826,-0.0206978772128455,0.149387210222719,0.0684485490923501
"sp500",1.47845249253278,0.15024835890961,0.124240060655782,1.20933906597072,-0.407668146370132,2.7221534005514,-0.0127354716623019,-0.0208964818124506,0.129554392299153,NA
"sp1500",1.48281756256857,0.150560555027198,0.125076055247181,1.20375202695394,-0.422427949035136,2.53851872758018,-0.0128840421252001,-0.0209069980212779,0.134406646897555,0.0482047119940846
"long_short_ratio",-0.423131168885766,-0.0813445720058439,0.193742689019223,-0.419858795279615,-0.373758380533313,2.11778826333692,-0.0210734348271091,-0.0323296609887124,0.591569426932051,-0.976628611244337
"long_short_ratio_pct",-0.185927859319644,-0.0312266480626395,0.0707707829510291,-0.441236436288224,-0.756629445981114,4.35249150293092,-0.00796583258230291,-0.0146087148457643,0.276280470487668,-1.214787153401
"long_short_alpha",-0.552229777961094,-0.11654431656456,0.200081420468788,-0.58248445203707,-0.425972011915587,1.97906280565175,-0.0221166865836767,-0.0336595512033914,0.665769480084585,-1.10331065963085
"long_short_alpha_pct",-0.214871606770366,-0.0366203647708335,0.1472865702926,-0.248633427325271,-0.344365472322943,1.44058464794082,-0.0159791314254278,-0.0232643204152939,0.423252017520214,-0.911253859592703
