"","pineg_Brown Bw","pineg_Brown Fw","pineg_Green Bw","pineg_Green Fw","pipos_Brown Bw","pipos_Brown Fw","pipos_Green Bw","pipos_Green Fw"
"Mean",0.0985157511845167,0.0920290311464231,0.0906044051313781,0.111596104269786,0.0822462843653698,0.0762847458184817,0.0870703626077726,0.0919376400821741
"Std.Dev",0.0145640998478767,0.0147340594873236,0.0144118728241068,0.0183714298741702,0.00895027553625568,0.0146723054204869,0.0136136089410209,0.0243557694473881
"Min",0.0772434783538922,0.072910310980654,0.0651033216220295,0.0666151143822083,0.0591936887878962,0.0460209540418448,0.0568459429845627,0.0532808354692512
"Q1",0.0874008767063765,0.0806615019823198,0.0808379717261779,0.0980069451485881,0.077523330940335,0.0664292249920391,0.077582798652098,0.0718263682128501
"Median",0.0964737489272661,0.0924038682081676,0.0934033450634487,0.113588068355393,0.0823735423449794,0.0743335168413013,0.0833971136752579,0.086982134724233
"Q3",0.10761428322701,0.101986240216967,0.101186123340075,0.121053781869449,0.0848014157417959,0.084545654709471,0.0974431954214779,0.113168237856296
"Max",0.139495578439341,0.13202355118178,0.112171415316251,0.155754279439255,0.10482459653801,0.111149920521527,0.123225310375959,0.146719641000068
"MAD",0.013451440354691,0.0162111965509325,0.0182222508887839,0.0156542814335939,0.00661390500902927,0.0136866809031239,0.0123517558441399,0.0276904928497152
"IQR",0.0178287385269247,0.0187589937157918,0.0197641799408248,0.0226502781702048,0.00686301015811043,0.0169517417177634,0.0165672649682793,0.0384398502606378
"CV",0.147835241296579,0.160102299282939,0.159063710017292,0.164624293960629,0.108822855710966,0.192336033410918,0.156351811722048,0.264916191296828
"Skewness",0.802800606567197,0.846204452146245,-0.287284381885224,-0.0903265812835753,0.18040210398959,0.344356225432211,0.411891383180514,0.354700184491189
"SE.Skewness",0.447852016375307,0.48133666148028,0.447852016375307,0.48133666148028,0.447852016375307,0.48133666148028,0.447852016375307,0.48133666148028
"Kurtosis",0.297975813111502,0.203540277754976,-1.09864872922049,0.522976983347863,1.16693112327631,-0.114564877331557,0.329882603056534,-0.890157053321559
"N.Valid",27,23,27,23,27,23,27,23
"Pct.Valid",77.1428571428571,65.7142857142857,77.1428571428571,65.7142857142857,77.1428571428571,65.7142857142857,77.1428571428571,65.7142857142857
